repo_full_name,sha,committed_at
ollama/ollama,c3c85aa06c1b7dcf8d7d811a4ebdf53d407faceb,2025-10-15T17:22:03Z
ollama/ollama,0d713051a2b54510c56530d53bc70fb230895149,2025-10-15T06:38:24Z
ollama/ollama,c4c5a4a01e05a8d18e0bf14ac92c43e60e517ea7,2025-10-15T02:35:15Z
ollama/ollama,3dcfd5f69e186ccd186a94848e870a87828be68a,2025-10-15T00:21:16Z
ollama/ollama,53a969d509cdf7472622c648d03525b5150ddbc0,2025-10-14T22:51:24Z
ollama/ollama,08fbb60bb24bcc178e6ca630e4bb2ef313f2d274,2025-10-14T22:33:05Z
ollama/ollama,850da848c58869474c97fc5c4ae58d27f05b65a1,2025-10-14T18:26:28Z
ollama/ollama,2aba569a2a593f56651ded7f5011480ece70c80f,2025-10-14T17:59:58Z
ollama/ollama,fd8aa947f3f096a876fe2d3e2bfd4861eda930bb,2025-10-14T09:01:53Z
ollama/ollama,ddaca643d048a6cc2c46e814cadd258126f4ab3e,2025-10-14T08:13:54Z
ollama/ollama,05982a95cb9e053fadf309e60ec9ff2bc58ba32e,2025-10-13T23:52:33Z
ollama/ollama,4987f13d345d77844b6737edadaa1f0432df004c,2025-10-13T22:26:18Z
ollama/ollama,e638f2acb6af7ef3d4a86567a43196bd895463bd,2025-10-13T20:46:33Z
ollama/ollama,18087f2ec71d3c4bbe7cfb61eca15b196f34b423,2025-10-13T20:21:06Z
ollama/ollama,6c833d5f8d824c87aa54b2fbfe97b94d7c4be541,2025-10-13T19:09:53Z
ollama/ollama,6544e1473525c381e89aba4778283900b3ad7145,2025-10-11T23:06:14Z
ollama/ollama,5db8a818a1d19fa283d9c5c8571061c0e321d26f,2025-10-11T21:10:23Z
ollama/ollama,6db8da99588de07a49fe788df6b53a7637b21344,2025-10-11T20:57:43Z
ollama/ollama,0c68ec8d6a243e4d7b91091d49a69d419bb7e29e,2025-10-11T19:06:02Z
ollama/ollama,70d9e363e16ea8617d5ec4d1011323a6ff6f845c,2025-10-11T00:16:29Z
ollama/ollama,1a2feb2a970c8331e1d34f68877190c169999c44,2025-10-10T23:38:12Z
ollama/ollama,aab2190420a21d9bc7287e8029e46ada14aef431,2025-10-10T22:15:56Z
ollama/ollama,629db9dc43490b8e42c328c1acca2746b4f56b39,2025-10-09T23:13:03Z
ollama/ollama,e0cd51166130d03b8ca1f0261478a0c4ddd983f2,2025-10-07T23:46:37Z
ollama/ollama,207332078f9a9c9eb097c2138471a3120eeadce2,2025-10-07T23:39:14Z
ollama/ollama,93085127f443a39190cf46efa62c51287c3714e1,2025-10-06T23:05:38Z
ollama/ollama,c00fa9cc2be428daeb3dd7cb67a86ff3a9d85cbd,2025-10-06T21:55:55Z
ollama/ollama,df411c4b0282a0d895b69fe8da738b6d1aeb6df4,2025-09-23T08:05:59Z
ollama/ollama,3d32249c749c6f77c1dc8a7cb55ae74fc2f4c08b,2025-10-10T02:08:21Z
ollama/ollama,d681cd7c292a653afd052f08058a510988a120d8,2025-10-10T01:46:00Z
ollama/ollama,47298fce39c286e2552a57d2e27f225c00d7b3e4,2025-09-28T22:06:33Z
ollama/ollama,4a48937ef172df630e8bf610a38df0f5a887d243,2025-09-25T20:25:37Z
ollama/ollama,967a82f52f010e3013652c69b223a0154257d23b,2025-09-29T19:29:26Z
ollama/ollama,bbbc73d63784d8841df91c441f5a3fa945089071,2025-09-26T23:41:16Z
ollama/ollama,15e3611d3d13f5ee48aae9ec893529cf7acd972a,2025-10-09T17:37:47Z
ollama/ollama,77060d462cc0ef171d5ebb66b8070175c53212df,2025-10-09T02:13:38Z
